record_id,label,window_start_utc,window_end_utc,ip_version,src_ip,dst_ip,src_port,dst_port,transport,app_proto,direction,duration_ms,packets,bytes,pkts_per_s,bytes_per_s,tcp_syn,tcp_ack,tcp_fin,tcp_rst,ipv6_flow_label,ipv6_next_header,ipv6_hop_limit,ipv6_ext_hdr_count,ipv6_fragment_count,icmpv6_nd_msgs,payload_entropy
R0000001,Benign,2026-01-01T03:42:04+00:00,2026-01-01T03:42:04.265000+00:00,6,2001:db8:1:ae00:2f8c:83e5:6e8d:9644,2001:db8:1:614c:a921:cb4c:95fb:e976,51628,80,TCP,HTTP,lateral,265.848,6,781,22.569302166971266,2937.7708320674265,2,4,0,0,172046,6,122,2,1,0,3.4750821674869674
R0000002,Benign,2026-01-01T03:10:48+00:00,2026-01-01T03:10:48.243000+00:00,6,2001:db8:1:5111:63be:441d:bd5a:c9e,2001:db8:117:6de2:1b46:ebdc:5c56:d9bc,62821,443,UDP,HTTPS,outbound,243.214,4,240,16.446429737459763,986.7857842475858,0,0,0,0,214394,17,132,1,1,1,4.974223699513464
R0000003,Benign,2026-01-01T18:42:00+00:00,2026-01-01T18:42:00.428000+00:00,6,2001:db8:1:6875:832f:52c4:8e03:70cf,2001:db8:116:f142:6b9:19aa:1a71:67c7,37345,110,TCP,POP3,outbound,428.708,3,225,6.997774594450595,524.8330945837946,2,1,0,1,867822,6,64,0,1,1,4.049006422577698
R0000004,Benign,2026-01-01T03:30:08+00:00,2026-01-01T03:30:08.565000+00:00,6,2001:db8:1:3e24:fa69:8cd2:fe23:90f3,2001:db8:12b:69c9:8567:1b58:926b:ffa5,25975,123,UDP,NTP,outbound,565.736,6,537,10.605646327446884,949.205346306496,0,0,0,0,1034155,17,62,0,0,1,7.052278184508938
R0000005,Benign,2026-01-01T03:15:06+00:00,2026-01-01T03:15:06.398000+00:00,6,2001:db8:1c8:5cd7:7bf6:9552:4cbc:9044,2001:db8:1:406f:5c72:aebd:13b1:1e59,48268,22,TCP,SSH,inbound,398.558,4,782,10.036185806838947,1962.0743252370141,1,3,0,0,960205,6,60,2,1,2,5.408863595004756
R0000006,Benign,2026-01-01T07:32:25+00:00,2026-01-01T07:32:25.069000+00:00,6,2001:db8:161:4077:9ec4:ea48:d773:f98d,2001:db8:1:545c:dcb9:75e:cdd7:f460,22961,445,TCP,SMB,inbound,69.151,18,2231,260.29878605983254,32262.58842774924,2,16,0,0,421216,6,63,1,0,1,4.8988963044107114
R0000007,Benign,2026-01-01T08:45:37+00:00,2026-01-01T08:45:37.266000+00:00,6,2001:db8:1:b1e8:bc20:b9f2:4a9c:589e,2001:db8:1:f7bf:7db2:a7aa:a205:e54f,0,8080,ICMPv6,OTHER,lateral,266.514,23,3216,86.299550437348,12066.928443761357,0,0,0,0,824044,58,58,0,1,1,5.524083969394795
R0000008,Benign,2026-01-01T19:57:02+00:00,2026-01-01T19:57:02.285000+00:00,6,2001:db8:12e:fb5:8bae:591e:ff4c:c10f,2001:db8:1:8cd3:c482:9b71:ae84:b81c,63480,443,UDP,HTTPS,inbound,285.267,5,843,17.52743282934912,2955.1251750282618,0,0,0,0,610965,17,67,2,1,2,6.131280119116199
R0000009,Benign,2026-01-01T10:46:39+00:00,2026-01-01T10:46:39.189000+00:00,6,2001:db8:1:ac48:68bd:80d7:cb88:1c32,2001:db8:1a2:224f:23a1:3e20:7fd2:55ee,16885,25,TCP,SMTP,outbound,189.56,7,970,36.92767237816463,5117.1203152599555,1,6,0,0,790607,6,66,1,0,2,4.7208257621547105
R0000010,Benign,2026-01-01T18:27:17+00:00,2026-01-01T18:27:17.341000+00:00,6,2001:db8:1:ec6a:81b1:5db9:88cc:4d49,2001:db8:1b1:13d5:dea0:50c6:eb9e:d274,36652,143,TCP,IMAP,outbound,341.35,19,5398,55.66142385935845,15813.703473306154,1,18,0,0,178220,6,127,0,1,2,6.203532897892025
R0000011,Benign,2026-01-01T06:12:34+00:00,2026-01-01T06:12:34.558000+00:00,6,2001:db8:10b:5707:9cd8:758b:a5a1:c825,2001:db8:1:a520:fbcd:bf5e:902f:3465,43408,123,UDP,NTP,inbound,558.501,34,3645,60.877263206431174,6526.400717277695,0,0,0,0,206792,17,68,1,1,1,2.580254895910256
R0000012,Benign,2026-01-01T07:05:25+00:00,2026-01-01T07:05:25.845000+00:00,6,2001:db8:1:9342:b00a:c64c:949c:d8d4,2001:db8:15f:c64c:721e:8b1f:3895:8939,31371,143,TCP,IMAP,outbound,845.317,10,891,11.829875076429627,1054.0418693098798,1,9,1,0,1012444,6,255,2,0,1,3.2124310853991074
R0000013,Benign,2026-01-01T17:19:40+00:00,2026-01-01T17:19:41.525000+00:00,6,2001:db8:1ba:eb28:f0d0:270f:d4d1:3d55,2001:db8:1:4fd8:592c:1107:2444:d301,30864,110,UDP,POP3,inbound,1525.541,6,374,3.933029947915597,245.15886675340553,0,0,0,0,918900,17,62,0,1,1,6.115402117702074
R0000014,Benign,2026-01-01T03:50:35+00:00,2026-01-01T03:50:35.542000+00:00,6,2001:db8:1b5:f59c:cf68:5878:b70:5933,2001:db8:1:d963:5c8:234b:1d76:3a66,43489,110,TCP,POP3,inbound,542.331,6,944,11.063360023133928,1740.6353103064046,3,3,1,1,365854,6,64,0,0,2,6.168644990532889
R0000015,Benign,2026-01-01T14:12:46+00:00,2026-01-01T14:12:46.214000+00:00,6,2001:db8:1:67b1:cc39:b925:3b5a:e288,2001:db8:1:2fb7:2f38:3b43:a137:f8e4,44101,123,TCP,NTP,lateral,214.466,7,584,32.639173645013784,2723.039629812579,2,5,0,0,413819,6,123,1,1,0,5.496120277064576
R0000016,Benign,2026-01-01T06:17:47+00:00,2026-01-01T06:17:47.510000+00:00,6,2001:db8:1:c098:4741:9b48:34ae:4abd,2001:db8:1cb:c72f:cf08:ea54:b429:9924,38861,80,TCP,HTTP,outbound,510.275,3,245,5.879183094124976,480.1332860202063,1,2,1,0,959552,6,62,0,0,1,4.397722730778382
R0000017,Benign,2026-01-01T22:02:54+00:00,2026-01-01T22:02:56.202000+00:00,6,2001:db8:1:98d3:503b:4078:a39c:9ec6,2001:db8:164:7dc3:9c7e:b575:637d:dcd6,8510,8080,UDP,HTTP-ALT,outbound,2202.982,11,1448,4.993231227052509,657.2908015247302,0,0,0,0,623787,17,63,1,1,1,3.281228784700959
R0000018,Benign,2026-01-01T04:27:29+00:00,2026-01-01T04:27:29.393000+00:00,6,2001:db8:1:3d13:1e2c:2e7d:502c:f0ee,2001:db8:12e:dc01:1df0:5d18:4e2d:6255,46469,110,TCP,POP3,outbound,393.916,10,6166,25.386127410483034,15653.086161303838,2,8,0,0,804698,6,63,0,1,1,5.5015473423336125
