record_id,label,image_path,split
R0000686,Analysis,images/Analysis/R0000686.png,train
R0002659,Analysis,images/Analysis/R0002659.png,train
R0000511,Backdoor,images/Backdoor/R0000511.png,train
R0001736,Backdoor,images/Backdoor/R0001736.png,train
R0000679,Backdoor,images/Backdoor/R0000679.png,train
R0000154,Backdoor,images/Backdoor/R0000154.png,train
R0001090,Benign,images/Benign/R0001090.png,train
R0001378,Benign,images/Benign/R0001378.png,train
R0002833,Benign,images/Benign/R0002833.png,train
R0001686,Benign,images/Benign/R0001686.png,train
R0000208,Benign,images/Benign/R0000208.png,train
R0001946,Benign,images/Benign/R0001946.png,train
R0000344,Benign,images/Benign/R0000344.png,train
R0001381,Benign,images/Benign/R0001381.png,train
R0002473,Benign,images/Benign/R0002473.png,train
R0001545,Benign,images/Benign/R0001545.png,train
R0001668,Benign,images/Benign/R0001668.png,train
R0000346,Benign,images/Benign/R0000346.png,train
R0000582,Benign,images/Benign/R0000582.png,train
R0001643,Benign,images/Benign/R0001643.png,train
R0000864,Benign,images/Benign/R0000864.png,train
R0002430,Benign,images/Benign/R0002430.png,train
R0002137,Benign,images/Benign/R0002137.png,train
R0001352,Benign,images/Benign/R0001352.png,train
R0000848,Benign,images/Benign/R0000848.png,train
R0001541,Benign,images/Benign/R0001541.png,train
R0001588,Benign,images/Benign/R0001588.png,train
R0002553,Benign,images/Benign/R0002553.png,train
R0000585,Benign,images/Benign/R0000585.png,train
R0002625,Benign,images/Benign/R0002625.png,train
R0002597,Benign,images/Benign/R0002597.png,train
R0001877,Benign,images/Benign/R0001877.png,train
R0002723,Benign,images/Benign/R0002723.png,train
R0002038,Benign,images/Benign/R0002038.png,train
R0002626,Benign,images/Benign/R0002626.png,train
R0002730,Benign,images/Benign/R0002730.png,train
R0002510,Benign,images/Benign/R0002510.png,train
R0001755,Benign,images/Benign/R0001755.png,train
R0002143,Benign,images/Benign/R0002143.png,train
R0001353,Benign,images/Benign/R0001353.png,train
R0002035,Benign,images/Benign/R0002035.png,train
R0000808,Benign,images/Benign/R0000808.png,train
R0000148,Benign,images/Benign/R0000148.png,train
R0000465,Benign,images/Benign/R0000465.png,train
R0001278,Benign,images/Benign/R0001278.png,train
R0002548,Benign,images/Benign/R0002548.png,train
R0002052,Benign,images/Benign/R0002052.png,train
R0001158,Benign,images/Benign/R0001158.png,train
R0002168,Benign,images/Benign/R0002168.png,train
R0002291,Benign,images/Benign/R0002291.png,train
R0001000,Benign,images/Benign/R0001000.png,train
R0001610,Benign,images/Benign/R0001610.png,train
R0000643,Benign,images/Benign/R0000643.png,train
R0002316,Benign,images/Benign/R0002316.png,train
R0000433,Benign,images/Benign/R0000433.png,train
R0002400,Benign,images/Benign/R0002400.png,train
R0000987,Benign,images/Benign/R0000987.png,train
R0002972,Benign,images/Benign/R0002972.png,train
R0001198,Benign,images/Benign/R0001198.png,train
R0001798,Benign,images/Benign/R0001798.png,train
R0002775,Benign,images/Benign/R0002775.png,train
R0000318,Benign,images/Benign/R0000318.png,train
R0000988,Benign,images/Benign/R0000988.png,train
R0001988,Benign,images/Benign/R0001988.png,train
R0002403,Benign,images/Benign/R0002403.png,train
R0001840,Benign,images/Benign/R0001840.png,train
R0001349,Benign,images/Benign/R0001349.png,train
R0001254,Benign,images/Benign/R0001254.png,train
R0002932,Benign,images/Benign/R0002932.png,train
R0001605,Benign,images/Benign/R0001605.png,train
R0002441,Benign,images/Benign/R0002441.png,train
R0001024,Benign,images/Benign/R0001024.png,train
R0001809,Benign,images/Benign/R0001809.png,train
R0001715,Benign,images/Benign/R0001715.png,train
R0001304,Benign,images/Benign/R0001304.png,train
R0000424,Benign,images/Benign/R0000424.png,train
R0001348,Benign,images/Benign/R0001348.png,train
R0000206,Benign,images/Benign/R0000206.png,train
R0000258,Benign,images/Benign/R0000258.png,train
R0000974,Benign,images/Benign/R0000974.png,train
R0002001,Benign,images/Benign/R0002001.png,train
R0002460,Benign,images/Benign/R0002460.png,train
R0000461,Benign,images/Benign/R0000461.png,train
R0001249,Benign,images/Benign/R0001249.png,train
R0001745,Benign,images/Benign/R0001745.png,train
R0002593,Benign,images/Benign/R0002593.png,train
R0002740,Benign,images/Benign/R0002740.png,train
R0002679,Benign,images/Benign/R0002679.png,train
R0001747,Benign,images/Benign/R0001747.png,train
R0000390,Benign,images/Benign/R0000390.png,train
R0002761,Benign,images/Benign/R0002761.png,train
R0001977,Benign,images/Benign/R0001977.png,train
R0000436,Benign,images/Benign/R0000436.png,train
R0000984,Benign,images/Benign/R0000984.png,train
R0000033,Benign,images/Benign/R0000033.png,train
R0001517,Benign,images/Benign/R0001517.png,train
R0000070,Benign,images/Benign/R0000070.png,train
R0000911,Benign,images/Benign/R0000911.png,train
R0002601,Benign,images/Benign/R0002601.png,train
R0000891,Benign,images/Benign/R0000891.png,train
R0001664,Benign,images/Benign/R0001664.png,train
R0001330,Benign,images/Benign/R0001330.png,train
R0001859,Benign,images/Benign/R0001859.png,train
R0000601,Benign,images/Benign/R0000601.png,train
R0001270,Benign,images/Benign/R0001270.png,train
R0002788,Benign,images/Benign/R0002788.png,train
R0002076,Benign,images/Benign/R0002076.png,train
R0001582,Benign,images/Benign/R0001582.png,train
R0001165,Benign,images/Benign/R0001165.png,train
R0001087,Benign,images/Benign/R0001087.png,train
R0001513,Benign,images/Benign/R0001513.png,train
R0002186,Benign,images/Benign/R0002186.png,train
R0000432,Benign,images/Benign/R0000432.png,train
R0002412,Benign,images/Benign/R0002412.png,train
R0001262,Benign,images/Benign/R0001262.png,train
R0002850,Benign,images/Benign/R0002850.png,train
R0001168,Benign,images/Benign/R0001168.png,train
R0000524,Benign,images/Benign/R0000524.png,train
R0002138,Benign,images/Benign/R0002138.png,train
R0002248,Benign,images/Benign/R0002248.png,train
R0002619,Benign,images/Benign/R0002619.png,train
R0001814,Benign,images/Benign/R0001814.png,train
R0001975,Benign,images/Benign/R0001975.png,train
R0002783,Benign,images/Benign/R0002783.png,train
R0001124,Benign,images/Benign/R0001124.png,train
R0002543,Benign,images/Benign/R0002543.png,train
R0002259,Benign,images/Benign/R0002259.png,train
R0003000,Benign,images/Benign/R0003000.png,train
R0001480,Benign,images/Benign/R0001480.png,train
R0000645,Benign,images/Benign/R0000645.png,train
R0000031,Benign,images/Benign/R0000031.png,train
R0001726,Benign,images/Benign/R0001726.png,train
